house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
6;7744851;wal219840;211126;63661;6880;84009B29-
77;7744914;wal1945274;213804;61336;6880;84009A222
17;7746385;wal1874639;217058;85303;6870;84059E00-
86;7746522;wal1877070;201190;84966;6924;84075C01-
88;7746522;wal1877072;201170;84981;6924;84075C01-
91;7746522;wal1877075;201165;84950;6924;84075C01-
2;7745290;wal1877079;196088;58773;6830;84010F00-
55;7746607;wal1877081;201823;85169;6924;84075C00-
59;7746607;wal226206;201708;85183;6924;84075C00-
4;7744938;wal1567140;213732;60806;6880;84009A00-
186;7746512;wal1570340;203239;85876;6920;84075A001
14;7774419;wal2081224;235327;52853;6860;84033D10-
6;7774419;wal2081220;235357;52813;6860;84033D10-
8;7746312;wal1570350;223628;77496;6870;84059B000
16;7746313;wal1570352;216355;78919;6870;84059C10-
3;7746283;wal1570402;222269;80355;6870;84059A040
19;7746361;wal1570418;223593;77662;6870;84059B000
4;7746316;wal1570423;222001;79982;6870;84059A00-
6;7746316;wal1570426;222013;79996;6870;84059A00-
15;7745699;wal1875158;215820;68188;6890;84035D09-
3;7746317;wal1570430;217700;80730;6870;84059D001
24;7746226;wal1570456;205354;66137;6850;84050A000
25;7746227;wal1570458;204052;62594;6851;84050F00-
11;7745485;wal226447;242366;54797;6860;84033A59-
30;7746837;wal230564;228153;74953;6800;84077E09-
158;7745699;wal213245;216814;67368;6890;84035D09-
10;7746295;wal252025;218211;75964;6870;84059C29-
23;7746379;wal249367;218842;81195;6870;84059D012
18;7746332;wal249092;220231;80393;6870;84059D10-
41;7746856;wal228935;228931;76017;6800;84077G00-
46;7746837;wal231012;227900;74710;6800;84077E020
51;7746832;wal223833;223500;67218;6800;84077A172
10;7745485;wal1495445;242412;54787;6860;84033A59-
16;7745509;wal1509634;235630;61995;6860;84033B109
17;7745487;wal1509724;235928;61594;6860;84033B109
10;7745567;wal1502448;235448;56326;6860;84033A10-
2;7746295;wal1875608;218910;76665;6870;84059C29-
69;7745658;wal237852;211883;77199;6890;84035F09-
2;7746860;wal229440;223421;67756;6800;84077A110
8;7746295;wal1875605;218200;75987;6870;84059C29-
49;7745454;wal1504611;233693;60034;6860;84033B020
