CP_NAME
1000 Br[uûü]x[eèéêë]ll[eèéêë]s
1000 Br[uûü]ss[eèéêë]l
Br[uûü]x[eèéêë]ll[eèéêë]s 1000
Br[uûü]ss[eèéêë]l 1000
1020 Br[uûü]x[eèéêë]ll[eèéêë]s
1020 Br[uûü]ss[eèéêë]l
Br[uûü]x[eèéêë]ll[eèéêë]s 1020
Br[uûü]ss[eèéêë]l 1020
1030 S[cç]h[aàâ][eèéêë]rb[eèéêë][eèéêë]k
1030 S[cç]h[aàâ][aàâ]rb[eèéêë][eèéêë]k
S[cç]h[aàâ][eèéêë]rb[eèéêë][eèéêë]k 1030
S[cç]h[aàâ][aàâ]rb[eèéêë][eèéêë]k 1030
1040 Br[uûü]x[eèéêë]ll[eèéêë]s
1040 Br[uûü]ss[eèéêë]l
Br[uûü]x[eèéêë]ll[eèéêë]s 1040
Br[uûü]ss[eèéêë]l 1040
1040 Ett[eèéêë]rb[eèéêë][eèéêë]k
Ett[eèéêë]rb[eèéêë][eèéêë]k 1040
1050 Br[uûü]x[eèéêë]ll[eèéêë]s
1050 Br[uûü]ss[eèéêë]l
Br[uûü]x[eèéêë]ll[eèéêë]s 1050
Br[uûü]ss[eèéêë]l 1050
1050 Ix[eèéêë]ll[eèéêë]s
1050 Els[eèéêë]n[eèéêë]
Ix[eèéêë]ll[eèéêë]s 1050
Els[eèéêë]n[eèéêë] 1050
1060 S[aàâ]int[- ]Gill[eèéêë]s
1060 Sint[- ]Gillis
S[aàâ]int[- ]Gill[eèéêë]s 1060
Sint[- ]Gillis 1060
1070 And[eèéêë]rl[eèéêë][cç]ht
And[eèéêë]rl[eèéêë][cç]ht 1070
1080 Mol[eèéêë]nb[eèéêë][eèéêë]k[- ]S[aàâ]int[- ]J[eèéêë][aàâ]n
1080 Sint[- ]J[aàâ]ns[- ]Mol[eèéêë]nb[eèéêë][eèéêë]k
Mol[eèéêë]nb[eèéêë][eèéêë]k[- ]S[aàâ]int[- ]J[eèéêë][aàâ]n 1080
Sint[- ]J[aàâ]ns[- ]Mol[eèéêë]nb[eèéêë][eèéêë]k 1080
1081 Ko[eèéêë]k[eèéêë]lb[eèéêë]rg
Ko[eèéêë]k[eèéêë]lb[eèéêë]rg 1081
1082 B[eèéêë]r[cç]h[eèéêë]m[- ]S[aàâ]int[eèéêë][- ]Ag[aàâ]th[eèéêë]
1082 Sint[- ]Ag[aàâ]th[aàâ][- ]B[eèéêë]r[cç]h[eèéêë]m
B[eèéêë]r[cç]h[eèéêë]m[- ]S[aàâ]int[eèéêë][- ]Ag[aàâ]th[eèéêë] 1082
Sint[- ]Ag[aàâ]th[aàâ][- ]B[eèéêë]r[cç]h[eèéêë]m 1082
1083 G[aàâ]nshor[eèéêë]n
G[aàâ]nshor[eèéêë]n 1083
1090 J[eèéêë]tt[eèéêë]
J[eèéêë]tt[eèéêë] 1090
1120 Br[uûü]x[eèéêë]ll[eèéêë]s
1120 Br[uûü]ss[eèéêë]l
Br[uûü]x[eèéêë]ll[eèéêë]s 1120
Br[uûü]ss[eèéêë]l 1120
1130 Br[uûü]x[eèéêë]ll[eèéêë]s
1130 Br[uûü]ss[eèéêë]l
Br[uûü]x[eèéêë]ll[eèéêë]s 1130
Br[uûü]ss[eèéêë]l 1130
1140 Ev[eèéêë]r[eèéêë]
Ev[eèéêë]r[eèéêë] 1140
1150 Wol[uûü]w[eèéêë][- ]S[aàâ]int[- ]Pi[eèéêë]rr[eèéêë]
1150 Sint[- ]Pi[eèéêë]t[eèéêë]rs[- ]Wol[uûü]w[eèéêë]
Wol[uûü]w[eèéêë][- ]S[aàâ]int[- ]Pi[eèéêë]rr[eèéêë] 1150
Sint[- ]Pi[eèéêë]t[eèéêë]rs[- ]Wol[uûü]w[eèéêë] 1150
1160 A[uûü]d[eèéêë]rgh[eèéêë]m
1160 O[uûü]d[eèéêë]rg[eèéêë]m
A[uûü]d[eèéêë]rgh[eèéêë]m 1160
O[uûü]d[eèéêë]rg[eèéêë]m 1160
1170 W[aàâ]t[eèéêë]rm[aàâ][eèéêë]l[- ]Boitsfort
1170 W[aàâ]t[eèéêë]rm[aàâ][aàâ]l[- ]Bosvoord[eèéêë]
W[aàâ]t[eèéêë]rm[aàâ][eèéêë]l[- ]Boitsfort 1170
W[aàâ]t[eèéêë]rm[aàâ][aàâ]l[- ]Bosvoord[eèéêë] 1170
1180 U[cç][cç]l[eèéêë]
1180 Ukk[eèéêë]l
U[cç][cç]l[eèéêë] 1180
Ukk[eèéêë]l 1180
1190 For[eèéêë]st
1190 Vorst
For[eèéêë]st 1190
Vorst 1190
1200 Wol[uûü]w[eèéêë][- ]S[aàâ]int[- ]L[aàâ]mb[eèéêë]rt
1200 Sint[- ]L[aàâ]mbr[eèéêë][cç]hts[- ]Wol[uûü]w[eèéêë]
Wol[uûü]w[eèéêë][- ]S[aàâ]int[- ]L[aàâ]mb[eèéêë]rt 1200
Sint[- ]L[aàâ]mbr[eèéêë][cç]hts[- ]Wol[uûü]w[eèéêë] 1200
1210 S[aàâ]int[- ]Joss[eèéêë][- ]t[eèéêë]n[- ]Nood[eèéêë]
1210 Sint[- ]Joost[- ]t[eèéêë]n[- ]Nod[eèéêë]
S[aàâ]int[- ]Joss[eèéêë][- ]t[eèéêë]n[- ]Nood[eèéêë] 1210
Sint[- ]Joost[- ]t[eèéêë]n[- ]Nod[eèéêë] 1210
1300 W[aàâ]vr[eèéêë]
1300 W[aàâ]v[eèéêë]r
